ImageType,FileName,RunID,FilePath
RangeWithoutOverlay,TXY_Y,2,25,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000091.tif
IntensityWithoutOverlay,TXY_Y,2,26,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000092.tif
RangeWithoutOverlay,TXY_Y,2,26,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000092.tif
IntensityWithoutOverlay,TXY_Y,2,27,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000093.tif
RangeWithoutOverlay,TXY_Y,2,27,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000093.tif
IntensityWithoutOverlay,TXY_Y,2,28,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000094.tif
RangeWithoutOverlay,TXY_Y,2,28,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000094.tif
IntensityWithoutOverlay,TXY_Y,2,29,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000095.tif
RangeWithoutOverlay,TXY_Y,2,29,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000095.tif
IntensityWithoutOverlay,TXY_Y,2,30,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000096.tif
RangeWithoutOverlay,TXY_Y,2,30,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000096.tif
IntensityWithoutOverlay,TXY_Y,2,31,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000097.tif
RangeWithoutOverlay,TXY_Y,2,31,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000097.tif
IntensityWithoutOverlay,TXY_Y,2,32,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000098.tif
RangeWithoutOverlay,TXY_Y,2,32,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000098.tif
IntensityWithoutOverlay,TXY_Y,2,33,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000099.tif
RangeWithoutOverlay,TXY_Y,2,33,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000099.tif
IntensityWithoutOverlay,TXY_Y,2,34,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000100.tif
RangeWithoutOverlay,TXY_Y,2,34,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000100.tif
IntensityWithoutOverlay,TXY_Y,2,35,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000101.tif
RangeWithoutOverlay,TXY_Y,2,35,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000101.tif
IntensityWithoutOverlay,TXY_Y,2,36,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000102.tif
RangeWithoutOverlay,TXY_Y,2,36,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000102.tif
IntensityWithoutOverlay,TXY_Y,2,37,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000103.tif
RangeWithoutOverlay,TXY_Y,2,37,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000103.tif
IntensityWithoutOverlay,TXY_Y,2,38,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000104.tif
RangeWithoutOverlay,TXY_Y,2,38,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000104.tif
IntensityWithoutOverlay,TXY_Y,2,39,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000105.tif
RangeWithoutOverlay,TXY_Y,2,39,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000105.tif
IntensityWithoutOverlay,TXY_Y,2,40,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000106.tif
RangeWithoutOverlay,TXY_Y,2,40,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000106.tif
IntensityWithoutOverlay,TXY_Y,2,41,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000107.tif
RangeWithoutOverlay,TXY_Y,2,41,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000107.tif
IntensityWithoutOverlay,TXY_Y,2,42,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000108.tif
RangeWithoutOverlay,TXY_Y,2,42,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000108.tif
IntensityWithoutOverlay,TXY_Y,3,43,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000176.tif
RangeWithoutOverlay,TXY_Y,3,43,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000176.tif
IntensityWithoutOverlay,TXY_Y,3,44,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000177.tif
RangeWithoutOverlay,TXY_Y,3,44,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000177.tif
IntensityWithoutOverlay,TXY_Y,3,45,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000178.tif
RangeWithoutOverlay,TXY_Y,3,45,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000178.tif
IntensityWithoutOverlay,TXY_Y,3,46,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000179.tif
RangeWithoutOverlay,TXY_Y,3,46,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000179.tif
IntensityWithoutOverlay,TXY_Y,3,47,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000180.tif
RangeWithoutOverlay,TXY_Y,3,47,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000180.tif
IntensityWithoutOverlay,TXY_Y,3,48,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000181.tif
RangeWithoutOverlay,TXY_Y,3,48,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000181.tif
IntensityWithoutOverlay,TXY_Y,3,49,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000182.tif
RangeWithoutOverlay,TXY_Y,3,49,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000182.tif
IntensityWithoutOverlay,TXY_Y,3,50,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000183.tif
RangeWithoutOverlay,TXY_Y,3,50,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000183.tif
IntensityWithoutOverlay,TXY_Y,3,51,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000184.tif
RangeWithoutOverlay,TXY_Y,3,51,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000184.tif
IntensityWithoutOverlay,TXY_Y,3,52,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000185.tif
RangeWithoutOverlay,TXY_Y,3,52,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000185.tif
IntensityWithoutOverlay,TXY_Y,3,53,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000186.tif
RangeWithoutOverlay,TXY_Y,3,53,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000186.tif
IntensityWithoutOverlay,TXY_Y,3,54,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000187.tif
RangeWithoutOverlay,TXY_Y,3,54,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000187.tif
IntensityWithoutOverlay,TXY_Y,3,55,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000188.tif
RangeWithoutOverlay,TXY_Y,3,55,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000188.tif
IntensityWithoutOverlay,TXY_Y,3,56,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000189.tif
RangeWithoutOverlay,TXY_Y,3,56,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000189.tif
IntensityWithoutOverlay,TXY_Y,3,57,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000190.tif
RangeWithoutOverlay,TXY_Y,3,57,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000190.tif
IntensityWithoutOverlay,TXY_Y,3,58,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000191.tif
